#t,h,En,Ep,Ea,H(10)
39830,4689.3,1.17231e-13,0,1.17231e-13,1.02305e-09
39840,4691.7,1.04206e-13,0,1.04206e-13,9.09376e-10
39850,4689.9,6.51285e-14,0,6.51285e-14,5.6836e-10
39860,4694.1,5.21028e-14,0,5.21028e-14,4.54688e-10
39870,4700.7,1.04206e-13,0,1.04206e-13,9.09376e-10
39880,4708,2.34463e-13,0,2.34463e-13,2.0461e-09
39890,4696,1.30257e-13,0,1.30257e-13,1.13672e-09
39900,4695.2,2.47488e-13,0,2.47488e-13,2.15977e-09
39910,4696.4,1.43283e-13,0,1.43283e-13,1.25039e-09
39920,4697.9,2.60514e-13,0,2.60514e-13,2.27344e-09
39930,4698.1,1.43283e-13,0,1.43283e-13,1.25039e-09
39940,4697.7,0,0,0,0
39950,4697.8,2.08411e-13,0,2.08411e-13,1.81875e-09
39960,4697.7,5.21028e-14,0,5.21028e-14,4.54688e-10
39970,4697.7,1.30257e-13,0,1.30257e-13,1.13672e-09
40060,1757.8,9.11799e-14,0,9.11799e-14,7.95704e-10
40070,1623.2,2.60514e-13,0,2.60514e-13,2.27344e-09
40080,1473.9,5.21028e-14,0,5.21028e-14,4.54688e-10
40090,1291.6,2.60514e-13,0,2.60514e-13,2.27344e-09
40100,1114.5,2.60514e-13,0,2.60514e-13,2.27344e-09
40110,948.2,5.21028e-14,0,5.21028e-14,4.54688e-10
40120,778.3,1.95385e-13,0,1.95385e-13,1.70508e-09
40130,597.8,1.30257e-13,0,1.30257e-13,1.13672e-09
40140,456.7,3.90771e-14,0,3.90771e-14,3.41016e-10
